domain,classification
27east.com,local
4bcaonline.com,local
go.com,national
aberdeennews.com,local
abqjournal.com,local
adirondackdailyenterprise.com,local
adn.com,local
advocate.com,national
advocateanddemocrat.com,local
advocatepress.com,local
adweek.com,national
aikenstandard.com,local
aim.org,national
ajc.com,local
ajnews.com,local
akron.com,local
akronhometowner.com,local
al.com,local
alamosanews.com,local
alibi.com,local
alligator.org,local
allotsego.com,local
alternet.org,national
altoonamirror.com,local
amarillo.com,local
americanpress.com,local
americanthinker.com,national
amestrib.com,local
amny.com,local
anchoragepress.com,local
annistonstar.com,local
ap.org,national
apg-wi.com,local
apnews.com,national
app.com,local
appeal-democrat.com,local
arcamax.com,national
ardmoreite.com,local
argonautnews.com,local
argusleader.com,local
arkansasonline.com,local
arktimes.com,local
aroundosceola.com,local
artvoice.com,local
aspendailynews.com,local
aspentimes.com,local
athensmessenger.com,local
atlantablackstar.com,local
atlantadailyworld.com,local
attn.com,national
auburnpub.com,local
augusta.com,local
augustafreepress.com,local
auroraadvertiser.net,local
auroranewsregister.com,local
austinchronicle.com,local
austindailyherald.com,local
avenuenews.com,local
azcapitoltimes.com,local
azcentral.com,local
azdailysun.com,local
bainbridgereview.com,local
bakersfield.com,local
baltimoresun.com,local
bangordailynews.com,local
bastropenterprise.com,local
battlecreekenquirer.com,local
baxterbulletin.com,local
baycitytribune.com,local
baytownsun.com,local
bcdemocratonline.com,local
bcrnews.com,local
bdtonline.com,local
beaconseniornews.com,local
beatricedailysun.com,local
beaumontenterprise.com,local
beauregarddailynews.net,local
beforeitsnews.com,national
belgrade-news.com,local
belleplaineherald.com,local
bellevilleareaindependent.com,local
bellevueheraldleader.com,local
bellinghamherald.com,local
beloitdailynews.com,local
bemidjipioneer.com,local
bendbulletin.com,local
benningtonbanner.com,local
bentoncourier.com,local
berthoudsurveyor.com,local
beverlyreview.net,local
bgdailynews.com,local
bhcourier.com,local
bhpioneer.com,local
billingsgazette.com,local
billoreilly.com,national
bipartisanreport.com,national
birminghamtimes.com,local
bismarcktribune.com,local
bizpacreview.com,national
biztimes.com,local
blackamericaweb.com,national
blacknews.com,national
blackwelljournaltribune.net,local
bladenjournal.com,local
blavity.com,national
bloomberg.com,national
blueridgenow.com,local
blufftontoday.com,local
bnd.com,local
boiseweekly.com,local
boonevilledemocrat.com,local
boston.com,local
bostonherald.com,local
bostonreview.net,national
bowienewsonline.com,local
bozemandailychronicle.com,local
bradenton.com,local
bradfordera.com,local
brainerddispatch.com,local
bransontrilakesnews.com,local
breitbart.com,national
brewtonstandard.com,local
bridgton.com,local
broadcastingcable.com,local
brooklyneagle.com,local
brooklynreporter.com,local
broomfieldenterprise.com,local
browardpalmbeach.com,local
brownsvilleherald.com,local
bryantimes.com,local
buckscountycouriertimes.com,local
buckscountyherald.com,local
buffalonews.com,local
buffaloreflex.com,local
burlingtoncountytimes.com,local
burlingtonfreepress.com,local
business-standard.com,national
businessinsider.com,national
businessjournaldaily.com,local
businessobserverfl.com,local
businessreport.com,local
buzzfeed.com,national
c-span.org,national
caller.com,local
campusreform.org,national
candgnews.com,local
canoncitydailyrecord.com,local
cantonrep.com,local
canyon-news.com,local
capecodchronicle.com,local
capecodtimes.com,local
capegazette.com,local
capemaycountyherald.com,local
capenews.net,local
capitalgazette.com,local
capitalpress.com,local
carmitimes.com,local
carolinacoastonline.com,local
carrollconews.com,local
carrollcountycomet.com,local
carycitizen.com,local
cassville-democrat.com,local
cbn.com,national
cbs.com,national
cbslocal.com,local
cbsnews.com,national
cdapress.com,local
cdispatch.com,local
cecildaily.com,local
cedarrepublican.com,local
centraljersey.com,local
centralmaine.com,local
centredaily.com,local
cerescourier.com,local
chaffeecountytimes.com,local
charlescitypress.com,local
charlestonbusiness.com,local
charlestoncitypaper.com,local
charlotteobserver.com,local
chattanoogan.com,local
chetekalert.com,local
chicagobusiness.com,local
chicagocrusader.com,local
chicagodefender.com,local
chicagomaroon.com,local
chicagoreader.com,local
chicagoreporter.com,local
chicagotribune.com,local
chicoer.com,local
chieftain.com,local
chillicothegazette.com,local
chinookobserver.com,local
chipleypaper.com,local
chippewa.com,local
chisagocountypress.com,local
choctawsun.org,local
chron.com,local
chronicleonline.com,local
chroniclet.com,local
loc.gov,national
chronline.com,local
cincinnati.com,local
citizen-times.com,local
citizensvoice.com,local
citizentribune.com,local
city-journal.org,national
citybeat.com,local
citypages.com,local
citypaper.com,local
cityweekly.net,local
civilbeat.org,local
cjonline.com,local
cjr.org,national
clantonadvertiser.com,local
clarecountyreview.com,local
claremont-courier.com,local
claremoreprogress.com,local
clarionledger.com,local
claytodayonline.com,local
clclt.com,local
cleburnetimesreview.com,local
cleveland.com,local
clevelandbanner.com,local
clevescene.com,local
clintonherald.com,local
clintonnc.com,local
cnbc.com,national
cnn.com,national
cnsnews.com,national
coastalcourier.com,local
collegemagazine.com,national
coloradoan.com,local
colorlines.com,national
columbiabasinherald.com,local
columbiamissourian.com,local
columbian.com,local
columbiatribune.com,local
columbusalive.com,local
columbustelegram.com,local
commentarymagazine.com,national
commercialappeal.com,local
commondreams.org,national
communitynewspapers.com,local
concordmonitor.com,local
conservativereview.com,national
conservativetribune.com,national
consortiumnews.com,national
conwaydailysun.com,local
cookcountynews-herald.com,local
cookpolitical.com,national
cornellsun.com,local
counterpunch.org,local
courant.com,local
courier-journal.com,local
courier-tribune.com,local
courieranywhere.com,local
courierherald.com,local
courierpostonline.com,local
courierpress.com,local
coveleaderpress.com,local
crainsdetroit.com,local
crainsnewyork.com,local
creators.com,national
crescent-news.com,local
crisismagazine.com,national
crooked.com,national
crooksandliars.com,national
crowrivermedia.com,local
crtv.com,national
csindy.com,local
csmonitor.com,national
ctnow.com,local
ctpost.com,local
cullmantimes.com,local
cumberlink.com,local
currentaffairs.org,national
cvbugle.com,local
daily-chronicle.com,local
daily-journal.com,local
daily-times.com,local
daily-tribune.com,local
dailyadvance.com,local
dailyadvocate.com,local
dailyastorian.com,local
dailybreeze.com,local
dailybruin.com,local
dailybulletin.com,local
dailycal.org,local
dailycaller.com,national
dailycamera.com,local
dailycomet.com,local
dailycommercial.com,local
dailydemocrat.com,local
dailydot.com,national
dailyfreeman.com,local
dailygazette.com,local
dailygreatest.com,national
dailyherald.com,local
dailyindependent.com,local
dailyinterlake.com,local
dailyitem.com,local
dailyjournal.net,local
dailyjournalonline.com,local
dailykos.com,national
dailylocal.com,local
dailynews.com,local
dailynorthwestern.com,local
dailypostathenian.com,local
dailypress.com,local
dailyprogress.com,local
dailyrecord.com,local
dailyregister.com,local
dailyrepublic.com,local
dailysignal.com,national
dailystandard.com,local
dailystarjournal.com,local
dailytarheel.com,local
dailytexanonline.com,local
dailytrib.com,local
dailywire.com,national
dailyworld.com,local
dallasnews.com,local
dallasobserver.com,local
dansvilleonline.com,local
dariennewsonline.com,local
davisclipper.com,local
davisenterprise.com,local
daytondailynews.com,local
dcourier.com,local
deccanchronicle.com,local
delawareonline.com,local
delawarestatenews.net,local
delcotimes.com,local
delmarvanow.com,local
democracynow.org,national
democratandchronicle.com,local
democratherald.com,local
demopolistimes.com,local
dentonrc.com,local
denverpost.com,local
deseretnews.com,local
desertnews.com,local
desertsun.com,local
desmoinesregister.com,local
desototimes.com,local
detroitnews.com,local
dewittobserver.com,local
dispatch.com,local
dissentmagazine.org,national
djournal.com,local
dl-online.com,local
dln.com,local
dnews.com,local
dnj.com,local
dnronline.com,local
dodgecountynews.com,local
donaldsonvillechief.com,local
dosmundos.com,local
dothaneagle.com,local
dotnews.com,local
doverpost.com,local
drudgereport.com,national
dukechronicle.com,local
duluthnewstribune.com,local
durangoherald.com,local
dyersvillecommercial.com,local
dziennik.com,local
dziennikzwiazkowy.com,local
eacourier.com,local
eagletribune.com,local
eastbayexpress.com,local
eastbayri.com,local
eastbaytimes.com,local
easternshorepost.com,local
eastoregonian.com,local
eastvalleytribune.com,local
eccalifornian.com,local
echo-pilot.com,local
economist.com,national
edmondsun.com,local
effinghamdailynews.com,local
ehextra.com,local
elitedaily.com,national
elkharttruth.com,local
elkodaily.com,local
elkvalleytimes.com,local
elnuevoherald.com,local
elpasotimes.com,local
emanuelcountylive.com,local
emergencyemail.org,national
emissourian.com,local
emporiagazette.com,local
enewscourier.com,local
enidnews.com,local
enterprisenews.com,local
enterprisepub.com,local
esquire.com,national
essexnewsdaily.com,local
eugeneweekly.com,local
eunicetoday.com,local
eveningsun.com,local
eveningtribune.com,local
evesun.com,local
examiner.net,local
exploreclarion.com,local
factcheck.org,national
fair.org,national
fairfaxtimes.com,local
fairmontsentinel.com,local
faribaultcountyregister.com,local
fark.com,national
farmvilleherald.com,local
fayobserver.com,local
fdlreporter.com,local
fergusfallsjournal.com,local
fillmorecountyjournal.com,local
yahoo.com,national
firstthings.com,national
firsttoknow.com,national
fivethirtyeight.com,national
flatheadbeacon.com,local
flkeysnews.com,local
floridatoday.com,local
floridaweekly.com,local
fltimes.com,local
flyergroup.com,local
fontanaheraldnews.com,local
forbes.com,national
foreignaffairs.com,national
foreignpolicy.com,national
forestparkreview.com,local
fortmorgantimes.com,local
fosters.com,local
foxbusiness.com,national
foxnews.com,national
fredericknewspost.com,local
fredericksburg.com,local
free-times.com,local
freebeacon.com,national
freemanjournal.net,local
freep.com,local
freepressnewspapers.com,local
freepressonline.com,local
fremonttribune.com,local
fresnobee.com,local
frontiersman.com,local
frontpagemag.com,national
fullmeasure.news,national
fwweekly.com,local
gadsdenmessenger.com,local
gadsdentimes.com,local
gainesville.com,local
gainesvilletimes.com,local
galesburg.com,local
gallup.com,national
galvnews.com,local
gantdaily.com,local
gastongazette.com,local
gazette.com,local
gazettenet.com,local
gazettes.com,local
gazettetimes.com,local
gazettextra.com,local
gctelegram.com,local
gettysburgtimes.com,local
gillettenewsrecord.com,local
gilroydispatch.com,local
gjsentinel.com,local
globegazette.com,local
gloucestertimes.com,local
gmnews.com,local
gmtoday.com,local
godanriver.com,local
goerie.com,local
goldenstatenewspapers.com,local
goleader.com,local
gonzalesinquirer.com,local
good.is,national
goodnewsnetwork.org,national
goodtimes.sc,local
gosanangelo.com,local
goshennews.com,local
goskagit.com,local
gothamgazette.com,local
